id,income
1,20000
2,106000
3,29000
4,61000
5,18000
6,19000
7,53000
8,16000
9,19000
10,17000
11,28000
12,31000
13,22000
14,19000
15,26000
16,13000
17,75000
18,10000
19,26000
20,11000
21,49000
22,59000
23,33000
24,25000
25,79000
26,29000
27,11000
28,26000
29,14000
30,12000
31,37000
32,18000
33,16000
34,44000
35,14000
36,20000
37,57000
38,15000
39,60000
40,21000
41,95000
42,112000
43,18000
44,25000
45,66000
46,21000
47,11000
48,26000
49,38000
50,32000
51,29000
52,20000
53,57000
54,15000
55,39000
56,81000
57,41000
58,26000
59,20000
60,40000
61,27000
62,20000
63,21000
64,19000
65,22000
66,51000
67,41000
68,255000
69,37000
70,47000
71,45000
72,17000
73,37000
74,200000
75,54000
76,34000
77,41000
78,41000
79,45000
80,22000
81,66000
82,11000
83,41000
84,15000
85,32000
86,22000
87,20000
88,14000
89,12000
90,23000
91,27000
92,34000
93,20000
94,14000
95,46000
96,23000
97,35000
98,75000
99,11000
100,20000
101,20000
102,29000
103,24000
104,32000
105,28000
106,38000
107,41000
108,69000
109,42000
110,12000
111,43000
112,18000
113,50000
114,43000
115,19000
116,24000
117,134000
118,28000
119,34000
120,64000
121,132000
122,28000
123,44000
124,68000
125,104000
126,17000
127,24000
128,17000
129,32000
130,54000
131,11000
132,49000
133,32000
134,67000
135,36000
136,15000
137,25000
138,23000
139,229000
140,33000
141,38000
142,17000
143,22000
144,18000
145,23000
146,23000
147,21000
148,28000
149,20000
150,33000
151,111000
152,19000
153,80000
154,57000
155,26000
156,69000
157,27000
158,19000
159,18000
160,69000
161,18000
162,181000
163,39000
164,29000
165,38000
166,141000
167,19000
168,12000
169,27000
170,21000
171,24000
172,24000
173,106000
174,18000
175,57000
176,18000
177,44000
178,49000
179,19000
180,46000
181,50000
182,48000
183,78000
184,24000
185,42000
186,18000
187,27000
188,34000
189,59000
190,49000
191,91000
192,90000
193,23000
194,27000
195,40000
196,30000
197,13000
198,16000
199,11000
200,19000
201,17000
202,19000
203,50000
204,17000
205,142000
206,117000
207,120000
208,446000
209,27000
210,73000
211,42000
212,37000
213,17000
214,14000
215,85000
216,21000
217,18000
218,24000
219,55000
220,29000
221,22000
222,24000
223,119000
224,27000
225,22000
226,87000
227,62000
228,29000
229,23000
230,42000
231,25000
232,38000
233,40000
234,31000
235,11000
236,18000
237,18000
238,69000
239,39000
240,73000
241,40000
242,65000
243,13000
244,24000
245,25000
246,374000
247,28000
248,313000
249,99000
250,250000
251,17000
252,19000
253,64000
254,46000
255,29000
256,20000
257,27000
258,124000
259,20000
260,24000
261,11000
262,61000
263,118000
264,117000
265,216000
266,18000
267,37000
268,34000
269,47000
270,25000
271,34000
272,17000
273,37000
274,29000
275,26000
276,12000
277,15000
278,25000
279,32000
280,15000
281,17000
282,23000
283,177000
284,167000
285,74000
286,21000
287,14000
288,46000
289,26000
290,22000
291,25000
292,29000
293,106000
294,17000
295,19000
296,31000
297,22000
298,33000
299,31000
300,102000
301,20000
302,39000
303,43000
304,17000
305,98000
306,57000
307,15000
308,17000
309,34000
310,230000
311,36000
312,39000
313,26000
314,57000
315,16000
316,35000
317,60000
318,17000
319,22000
320,16000
321,33000
322,30000
323,17000
324,21000
325,17000
326,38000
327,38000
328,68000
329,50000
330,23000
331,48000
332,33000
333,30000
334,40000
335,20000
336,29000
337,12000
338,244000
339,49000
340,44000
341,35000
342,24000
343,18000
344,93000
345,28000
346,38000
347,107000
348,91000
349,26000
350,47000
351,19000
352,33000
353,51000
354,25000
355,234000
356,112000
357,24000
358,21000
359,163000
360,23000
361,46000
362,22000
363,101000
364,38000
365,27000
366,34000
367,58000
368,32000
369,32000
370,26000
371,140000
372,19000
373,26000
374,22000
375,49000
376,52000
377,39000
378,19000
379,48000
380,69000
381,39000
382,30000
383,36000
384,58000
385,28000
386,32000
387,46000
388,36000
389,35000
390,33000
391,30000
392,62000
393,29000
394,22000
395,26000
396,16000
397,68000
398,16000
399,34000
400,163000
401,29000
402,20000
403,71000
404,63000
405,95000
406,12000
407,40000
408,46000
409,20000
410,10000
411,34000
412,30000
413,27000
414,67000
415,42000
416,16000
417,29000
418,202000
419,55000
420,90000
421,35000
422,37000
423,26000
424,23000
425,18000
426,92000
427,20000
428,48000
429,21000
430,54000
431,46000
432,17000
433,19000
434,33000
435,17000
436,16000
437,48000
438,25000
439,46000
440,21000
441,25000
442,30000
443,114000
